"","Eta2","P-value"
"ls_",0.855435601380271,2.09860782538996e-18
"els^",0.80991161527166,1.68403732049185e-15
"que",0.798024332319728,7.3553407504228e-15
"qil",0.767196019561346,2.29140856406732e-13
"CONsub.PONfbl.PROper",0.764520719717283,3.01883589305116e-13
"PONfrt.CONcoo.ADVgen",0.757952836225394,5.85941545214896e-13
"CONcoo.ADVgen.VERcjg",0.749170171084869,1.38175731722008e-12
"_un",0.738684171389662,3.69564142064429e-12
"_q",0.724722246375236,1.28613049702339e-11
"q_",0.724722246375236,1.28613049702339e-11
"q",0.720475813261522,1.85458949942101e-11
"$fai",0.716290858760263,2.64495036602048e-11
"CONcoo.PROper.VERcjg",0.71552952913601,2.81970645175182e-11
"nte^",0.711007754684319,4.10790228352091e-11
"PONfbl.PROper.VERcjg",0.709883158914882,4.50650173190871e-11
"om_",0.708402501029378,5.08791636580325e-11
"_fa",0.702056140314012,8.49628483780235e-11
"dont",0.693818999800517,1.62482192773369e-10
"$sai",0.691713441100836,1.91195436684293e-10
"ut_",0.680126702241969,4.58463586546546e-10
