Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
,0,0,0,0,0,0,0,231,0,1,0,0,0,0,0,1,0,0
!,0,7,0,3,0,1,0,3,0,10,0,23,0,1,0,18,0,5
',301,0,353,955,34,76,99,1,251,643,394,1026,42,0,211,615,51,0
'''',0,768,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,124
*ex,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
",",0,623,0,902,0,76,0,184,0,687,0,923,0,126,0,540,0,176
-,0,0,0,0,0,0,0,0,0,56,0,72,0,0,0,1,0,0
.,1156,528,1488,720,103,46,277,172,1095,560,1513,810,179,95,972,524,323,150
:,496,29,575,46,47,10,131,5,459,131,603,103,35,11,286,61,68,32
;,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
?,0,14,0,15,0,2,0,3,0,16,0,47,0,0,0,23,0,9
Abraham,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achaïe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adagedonc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Afrique,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Agabaron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Agapite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Agariduz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aglaïs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Agnies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albanie,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
