Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJcar->ADJcar->VERcjg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJcar->ADJqua->ADJqua,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->ADJqua->NOMcom,0,5,0,5,0,5,0,5,0,5,4,5,0,5,0,5,0,5
ADJcar->ADVgen->ADJqua,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJcar->ADVgen->PONfrt,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->ADVgen->PRE,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->ADVneg->PONfbl,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->DETdef->PRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJcar->NOMcom->CONcoo,0,6,1,6,0,6,0,6,1,6,0,6,0,6,0,6,1,6
ADJcar->NOMcom->CONsub,0,3,0,3,0,3,0,3,0,3,0,3,0,3,1,3,1,3
ADJcar->NOMcom->DETpos,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJcar->NOMcom->PONfbl,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJcar->NOMcom->PONfrt,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
ADJcar->NOMcom->PRE,0,2,1,2,0,2,0,2,0,2,1,2,0,2,0,2,1,2
ADJcar->NOMcom->PROrel,0,4,0,4,0,4,0,4,1,4,2,4,0,4,0,4,1,4
ADJcar->NOMcom->VERcjg,0,5,1,5,0,5,0,5,0,5,2,5,0,5,1,5,0,5
ADJcar->PONfbl->NOMpro,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->PONfbl->VERcjg,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->PONfrt->ADJqua,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJcar->PONfrt->NOMcom,1,0,4,0,0,0,1,0,3,0,1,0,2,0,6,0,0,0
ADJcar->PONfrt->PRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJcar->PONfrt->VERcjg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJcar->PROadv->VERcjg,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJcar->PROcar->PRE.DETdef,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJcar->PROrel.PROper->VERcjg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJcar->VERcjg->ADVgen,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ADJcar->VERcjg->PRE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJcar->VERppe->VERcjg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJind->ADJind->PRE,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->ADJqua->ADJind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADJqua->NOMcom,0,3,3,3,0,3,0,3,0,3,0,3,0,3,1,3,1,3
ADJind->ADJqua->PONfbl,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJind->ADJqua->PONfrt,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->ADJqua->PRE,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->ADJqua->VERcjg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJind->ADVgen->ADJqua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADVgen->ADVgen,0,2,1,2,0,2,0,2,0,2,0,2,0,2,1,2,0,2
ADJind->ADVgen->CONcoo,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->ADVgen->PONfbl,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
ADJind->ADVgen->VERcjg,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->ADVneg->PONfrt,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJind->ADVneg->VERcjg,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJind->CONcoo->ADVgen,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONcoo->ADVneg,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
ADJind->CONcoo->CONsub,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONcoo->DETdef,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONcoo->DETpos,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
ADJind->CONcoo->PROind,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONsub->ADVgen,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1
ADJind->CONsub->DETdef,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONsub->NOMpro,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONsub->OUT,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->CONsub->PONfbl,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->CONsub->PROper,2,9,1,9,0,9,0,9,1,9,1,9,1,9,2,9,0,9
ADJind->DETdef->ADJqua,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
ADJind->DETdef->NOMcom,0,3,1,3,0,3,1,3,0,3,2,3,0,3,1,3,0,3
ADJind->DETdef->PONfbl,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
ADJind->DETpos->NOMcom,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMcom->ADJqua,0,2,0,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2
ADJind->NOMcom->ADVgen,1,6,2,6,0,6,0,6,4,6,3,6,0,6,1,6,0,6
ADJind->NOMcom->ADVneg,0,5,1,5,0,5,0,5,0,5,0,5,1,5,0,5,0,5
ADJind->NOMcom->CONcoo,1,9,2,9,0,9,0,9,2,9,0,9,0,9,1,9,0,9
ADJind->NOMcom->CONsub,4,17,2,17,0,17,1,17,2,17,1,17,0,17,0,17,0,17
ADJind->NOMcom->DETdef,0,4,0,4,0,4,0,4,1,4,0,4,0,4,0,4,0,4
ADJind->NOMcom->DETdem,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMcom->DETndf,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMcom->DETpos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJind->NOMcom->NOMcom,1,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2,0,2
ADJind->NOMcom->NOMpro,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMcom->PONfbl,2,15,4,15,0,15,0,15,1,15,0,15,0,15,1,15,0,15
ADJind->NOMcom->PONfrt,1,18,6,18,0,18,0,18,3,18,4,18,1,18,0,18,1,18
ADJind->NOMcom->PRE,0,27,3,27,0,27,1,27,5,27,5,27,0,27,3,27,0,27
ADJind->NOMcom->PRE.DETdef,0,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
ADJind->NOMcom->PROadv,1,2,0,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2
ADJind->NOMcom->PROdem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->PROper,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
ADJind->NOMcom->PROrel,3,30,3,30,0,30,1,30,2,30,5,30,1,30,3,30,1,30
ADJind->NOMcom->PROrel.PROper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJind->NOMcom->VERcjg,6,36,3,36,0,36,1,36,2,36,2,36,0,36,3,36,0,36
ADJind->NOMcom->VERinf,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->NOMcom->VERppa,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1
ADJind->NOMcom->VERppe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJind->NOMpro->CONcoo,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMpro->PONfrt,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMpro->PROadv,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->NOMpro->VERcjg,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1
ADJind->PONfbl->ADVgen,0,5,0,5,0,5,0,5,1,5,2,5,0,5,0,5,0,5
ADJind->PONfbl->CONsub,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ADJind->PONfbl->DETdef,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PONfbl->PROdem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADJind->PONfbl->PROper,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PONfbl->VERcjg,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PONfrt->ADVgen,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->PONfrt->ADVgen.PROper,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->PONfrt->CONcoo,1,5,1,5,0,5,0,5,0,5,1,5,0,5,1,5,0,5
ADJind->PONfrt->CONsub,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->PONfrt->DETcar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJind->PONfrt->DETdef,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PONfrt->PRE,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PONfrt->PROdem,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,0,2
ADJind->PRE->ADJqua,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PRE->DETdem,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PRE->DETind,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PRE->DETndf,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
ADJind->PRE->DETpos,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->PRE->NOMcom,1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
ADJind->PRE->PROper,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
ADJind->PRE->VERinf,0,4,1,4,0,4,0,4,3,4,0,4,0,4,0,4,0,4
ADJind->PRE.DETdef->NOMcom,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
ADJind->PROadv->VERcjg,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PROper->PONfbl,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PROper->PROper,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PROper->VERcjg,1,7,2,7,0,7,0,7,1,7,1,7,0,7,1,7,0,7
ADJind->PROrel->ADVgen,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
ADJind->PROrel->PROper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->PROrel->VERcjg,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->PROrel.PROper->PROadv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADJind->VERcjg->ADVgen,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJind->VERcjg->CONcoo,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1
ADJind->VERcjg->CONsub,0,3,1,3,0,3,0,3,0,3,0,3,0,3,1,3,0,3
ADJind->VERcjg->DETdef,0,3,0,3,0,3,0,3,1,3,0,3,0,3,0,3,1,3
ADJind->VERcjg->DETint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->DETndf,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
ADJind->VERcjg->DETpos,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
