"","freq","mean prob","sample size necessary","passes"
"droit",144,0.000348105462312581,2195.56925415117,FALSE
"comencier",814,0.00257378022244646,1062.75593834625,TRUE
".",25769,0.0746065105711048,313.470506572431,TRUE
"le",15902,0.0450814780808661,687.11881495241,TRUE
"avoir",5133,0.014193548924805,1300.96715774427,FALSE
"response",1,1.67250370459571e-06,13594.5593537606,FALSE
"sor2",440,0.00137951439710582,1339.49044383484,FALSE
"ban",6,1.20019746057451e-05,3896.00359901868,FALSE
"maistre",159,0.000501477647845523,663.74188058453,TRUE
"de",8449,0.0238892286088557,831.032317409271,TRUE
"ainsi",523,0.00140379858481514,1451.108219788,FALSE
"come1",1816,0.004795836855973,451.529649108806,TRUE
"a3",7258,0.0205582863975876,1209.50655194532,FALSE
"dame",279,0.000867300774478432,245.630900714403,TRUE
"ome",1588,0.00408337202882688,501.858728507512,TRUE
"qui",5197,0.0146406788742904,889.391994177889,TRUE
"secors",18,2.44976677660187e-05,3641.69200537086,FALSE
"si",7418,0.0190139289586443,165.491068100011,TRUE
"vos",1221,0.00301572726812999,513.722785152325,TRUE
"porsëoir2",2,5.01695748085451e-06,8593.15567541922,FALSE
"et",13408,0.0384987803288067,640.634669458957,TRUE
"dire",3817,0.011136584628134,351.406515723123,TRUE
"ci",181,0.000537287602109471,1214.34256086961,FALSE
"après",474,0.00154979972686661,891.323070325255,TRUE
"on",539,0.00140539433181631,631.349646930046,TRUE
"soi1",1968,0.00532522904748166,791.420888442473,TRUE
":",5419,0.0140033451428339,249.895024276743,TRUE
"ne1",3371,0.00919172890033004,769.212882441591,TRUE
"devoir",544,0.0014382354401602,1950.60321254313,FALSE
"metre2",740,0.00205469781476159,1350.31927393292,FALSE
"son4",3745,0.0105661536215604,513.469853926744,TRUE
"sens",79,0.000191844378197421,1575.63944377853,FALSE
"tu",3331,0.00987561403559579,208.881986831505,TRUE
"dont",810,0.00191890883159802,959.526041111704,TRUE
"nul",778,0.00206129990114549,1670.47120788329,FALSE
"estre1",9166,0.0260730346516456,745.164858723073,TRUE
"empirier",6,2.1514238991278e-05,2283.94368337545,FALSE
"ne2",1415,0.0037425169700269,1026.2159103284,TRUE
"ainçois",53,0.00014834637901602,2792.41404129148,FALSE
"faire",3078,0.00865640588292801,1146.17827367576,TRUE
"cel",2633,0.00734292232470657,879.164166725514,TRUE
"bon",384,0.00112415003601738,697.622151490219,TRUE
"uevre",232,0.000595207882395786,779.958348195142,TRUE
"lëal",12,3.57508983154479e-05,2079.2786498387,FALSE
"travail",49,0.000108691526176568,1461.18156751741,FALSE
"chose",863,0.00206658353533466,949.002271894364,TRUE
"porfiter",4,9.61315436895192e-06,6018.63137831827,FALSE
"a3+le",1603,0.00447466495829795,1475.52146946399,FALSE
"nom",546,0.00165525697022179,493.486713709768,TRUE
"savoir",1049,0.00284607169542257,1060.36444538902,TRUE
"por2",2606,0.00710224680052109,1446.72369023756,FALSE
"le+quel1",23,5.94874273055451e-05,3779.62348668062,FALSE
"raison",59,0.000145007215435194,1021.09848915303,TRUE
"bel1",526,0.00160675515795723,692.040001802513,TRUE
"seignor",2508,0.0073358136221578,328.093030198443,TRUE
"jou",5,1.51587897237673e-05,4122.31437884405,FALSE
"feme",335,0.0010580756146357,321.979817512207,TRUE
"vëoir",1609,0.00458063551354168,928.722829602451,TRUE
"autrement",12,2.22853700400337e-05,5536.16367266929,FALSE
"öir",641,0.00186804806848105,1638.30684049023,FALSE
"volentiers",89,0.000221890370339882,2271.68242152433,FALSE
"retenir",52,0.000111284348811337,2002.55074484684,FALSE
"selonc",83,0.000233574514799393,2032.84245162055,FALSE
"mien",90,0.000244649954287109,1727.50698027803,FALSE
"privé1",11,2.96707017627346e-05,3448.55241809415,FALSE
"povre",153,0.000428014585095256,750.165428098283,TRUE
"petit",127,0.000361265637104882,1212.95002195967,FALSE
"pöoir",1475,0.00400596853477755,927.087801327163,TRUE
"ce1",3393,0.00931267284123671,1017.38509743859,TRUE
"que2",2386,0.00645710491875458,1444.69699688702,FALSE
"je",3698,0.0104775619935406,95.1442843121447,TRUE
"en1",4881,0.0135373775004424,1747.13115473821,FALSE
"cest",1034,0.00265285923712263,826.990873239351,TRUE
"däerrain",38,9.09033714498239e-05,1408.40804352727,FALSE
"escrit",3,1.05524754875652e-05,4956.17678460628,FALSE
"aler",1111,0.00299249354397449,593.557854535417,TRUE
"apeler",349,0.00097058507047345,1283.16280435623,FALSE
"ariere",121,0.00026656510086336,1796.73382120738,FALSE
"que4",7365,0.0201557606196652,785.725729041385,TRUE
"voloir",846,0.00238133401030355,1694.56332657279,FALSE
"mie",896,0.00206017074981812,523.641773036517,TRUE
"cuidier1",274,0.000725429981142661,852.971086870748,TRUE
"croire",520,0.00161916136024921,860.194027079151,TRUE
"ore3",138,0.000375422543686558,1380.19094324718,FALSE
"autre",750,0.00178642822459701,969.278215646757,TRUE
"foiz",95,0.000275533138340945,407.629086606524,TRUE
"el1",4,8.37950114817038e-06,7503.52463627676,FALSE
"fors1",255,0.000690057661878217,2013.81005051495,FALSE
"prendre",707,0.00191717628314033,1742.07610300367,FALSE
"doctriner",26,5.29379518590817e-05,4457.40113885878,FALSE
"un",2240,0.00646775176486112,292.802767812904,TRUE
"où",732,0.00196874698794788,1679.8134655045,FALSE
"en2",1535,0.00406488670360996,1292.58458515559,FALSE
"respondre1",632,0.00190750711060949,414.166459027768,TRUE
"il",18167,0.0523745232767669,252.436484013932,TRUE
"aviser",1,3.04512262708819e-06,7466.37589020127,FALSE
