"","freq","mean prob","sample size necessary","passes"
"NOMcom PONfrt CONcoo",4905,0.0142762649439709,522.202101451515,TRUE
"PRE DETdef NOMcom",3588,0.00994713273449088,700.445330098389,TRUE
"PRE DETpos NOMcom",3318,0.00904791105946904,1450.37668936706,FALSE
"CONsub PROper VERcjg",3152,0.00903931358244348,623.292541228329,TRUE
"PROper VERcjg PRE",2822,0.00753594093728285,1440.41880521886,FALSE
"PONfrt CONcoo ADVgen",2598,0.00712214899672481,273.6597909627,TRUE
"PROper PROper VERcjg",2347,0.00646837155073813,1046.55429334635,TRUE
"VERcjg DETdef NOMcom",2366,0.00685731249820217,1308.8052860051,FALSE
"ADVgen PROper VERcjg",2335,0.00573427474654208,629.671194151931,TRUE
"PROper VERcjg ADVgen",2163,0.0058478546301094,1033.61961867544,TRUE
"ADJqua NOMcom PONfrt",2234,0.00615234409222401,1006.80388818711,TRUE
"DETdef NOMcom PRE",2169,0.00611907873500866,683.350142405579,TRUE
"CONcoo ADVgen VERcjg",2151,0.00562863820115865,364.182030181299,TRUE
"DETpos NOMcom PONfrt",2115,0.00618328961434436,1639.17075548478,FALSE
"PROper VERcjg PONfrt",2102,0.00594797060983627,761.446151714686,TRUE
"PONfbl PROper VERcjg",2082,0.00499434544563424,585.787097803656,TRUE
"NOMcom PRE NOMcom",1955,0.00526560283841531,934.415411985153,TRUE
"PROrel PROper VERcjg",1961,0.00544611929586287,1460.48495261095,FALSE
"CONsub PONfbl PROper",2009,0.00451495557618077,409.376076783537,TRUE
"DETdef ADJqua NOMcom",1999,0.00490144366360997,463.75849141865,TRUE
"PROper VERcjg VERppe",1938,0.00516204573459913,1780.7253244083,FALSE
"DETdef NOMcom VERcjg",1839,0.00509273409461333,972.280652332716,TRUE
"NOMcom PROper VERcjg",1811,0.00533110414949955,476.782606005508,TRUE
"PRE NOMcom PONfrt",1708,0.00463779028543755,1263.70715027496,FALSE
"PONfrt ADVgen VERcjg",1701,0.00447254065742843,738.771766424105,TRUE
"NOMcom PONfrt ADVgen",1678,0.00424139920858029,951.168492473091,TRUE
"VERcjg PRE NOMcom",1464,0.00396789938079993,2637.20196335331,FALSE
"DETdef NOMcom PONfrt",1390,0.00398656738485464,3266.78245235246,FALSE
"CONcoo PROper VERcjg",1398,0.00467364775906004,183.902202731187,TRUE
"CONcoo DETdef NOMcom",1415,0.00412587410409045,725.696109343274,TRUE
"PROper VERcjg VERinf",1278,0.00361377001353617,1479.45262898468,FALSE
"PRE ADJqua NOMcom",1370,0.00381902464668089,785.793400978202,TRUE
"NOMcom PRE.DETdef NOMcom",1315,0.00378331755183855,1400.66402593169,FALSE
"VERcjg PONfrt CONcoo",1257,0.00337846587102245,1157.85694072336,TRUE
"NOMcom PRE DETdef",1272,0.00360870462199365,1024.31844333485,TRUE
"VERcjg DETpos NOMcom",1257,0.00351054804798542,784.876957724705,TRUE
"PONfrt CONcoo PROper",1201,0.00376367868795562,348.216715337077,TRUE
"NOMcom PRE DETpos",1172,0.00338671857306425,1730.52286658812,FALSE
"DETdef NOMcom PROrel",1139,0.00295008903434933,2244.41706124928,FALSE
"NOMcom CONcoo PRE",1145,0.00306966786575093,890.089754800377,TRUE
"ADVgen CONsub PROper",1070,0.00266827893995424,1769.03395069885,FALSE
"VERcjg PRE DETdef",1105,0.00306780227169842,815.530176381375,TRUE
"ADJqua NOMcom VERcjg",1126,0.00307062225253627,1343.14631512229,FALSE
"DETdef NOMcom CONcoo",1109,0.00330623959196582,851.768673816581,TRUE
"NOMcom VERcjg PRE",1082,0.00303363108509952,1747.11638706159,FALSE
"VERcjg VERppe PRE",1090,0.00281939998765394,2744.87093467137,FALSE
"PROper VERcjg NOMcom",1016,0.00287366542288703,1431.10052917301,FALSE
"PROper VERcjg CONsub",997,0.00288027771492144,724.399673719306,TRUE
"CONcoo ADVgen PROper",1053,0.00271673398536033,718.184870210307,TRUE
"NOMcom PROrel VERcjg",997,0.00298122906470454,629.876346894379,TRUE
"PONfrt CONcoo PRE",989,0.00264722731087976,1155.67069591548,TRUE
"ADJqua NOMcom PRE",1032,0.00285933674873585,1453.526494786,FALSE
"VERcjg CONcoo VERcjg",1032,0.00291395481167799,1437.0530376251,FALSE
"VERcjg PRE DETpos",1004,0.00277849604788607,1924.76358678608,FALSE
"CONsub DETdef NOMcom",951,0.00255395933044326,1742.88240488742,FALSE
"NOMcom PROrel PROper",949,0.00264085566279244,1934.95906789303,FALSE
"VERcjg VERppe PONfrt",983,0.00270521072150562,2343.06725556996,FALSE
"DETpos NOMcom CONcoo",1009,0.00292471990804316,798.449171293934,TRUE
"ADJqua NOMcom CONcoo",965,0.00262598072960305,1873.85512901884,FALSE
"PRE DETdem NOMcom",943,0.00255488842438013,780.197501515337,TRUE
"PROper VERcjg CONcoo",945,0.00271972491570022,886.276172940244,TRUE
"PONfrt CONcoo CONsub",916,0.00251498681338623,813.115385191211,TRUE
"NOMcom PONfbl CONcoo",939,0.00228107826007813,499.837728003082,TRUE
"ADVgen VERcjg PRE",934,0.00252972315934152,1100.04150893667,TRUE
"VERcjg PRE PROper",930,0.00261346335625132,1495.27602134452,FALSE
"ADVgen ADJqua NOMcom",908,0.00249635854912076,1714.33390683751,FALSE
"NOMcom VERcjg VERppe",898,0.00245598994890941,3413.76235127581,FALSE
"PRE NOMcom CONcoo",897,0.00255125599563308,846.805640730254,TRUE
"VERppe PONfrt CONcoo",862,0.00241970097800442,981.750778005008,TRUE
"VERcjg PRE.DETdef NOMcom",871,0.00246304046654527,1861.35552573203,FALSE
"PRE DETind NOMcom",843,0.0021839848098219,1495.26621305038,FALSE
"NOMcom PONfrt CONsub",860,0.00233672286246497,1115.16851425139,TRUE
"PROper ADVneg VERcjg",801,0.00222748548188385,730.936647330935,TRUE
