"lemma";"F";"00_Ano_Leg-A_Ap_Ev_Dis_Pierre1.decolumnized";"01_Ano_Leg-A_Ap_NA_Vie_Pierre2.decolumnized";"02_Ano_Leg-A_Ap_NA_Pas_Paul.decolumnized";"03_Ano_Leg-A_Ap_NA_Mar_Jean.decolumnized";"04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev.decolumnized";"05_Ano_Leg-A_Ap_NA_Vie_Jacques.decolumnized";"06_Ano_Leg-A_Ap_NA_Vie_Matthieu.decolumnized";"07_Ano_Leg-A_Ap_NA_Vie_SimonJude.decolumnized";"08_Ano_Leg-A_Ap_NA_Vie_Philippe.decolumnized";"09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur.decolumnized";"10_Ano_Leg-A_Ap_NA_Vie_Barthelemy.decolumnized";"11_Ano_Leg-A_Ap_NA_Vie_Marc.decolumnized";"12_Ano_Leg-A_Ma_Ho_Vie_Longin.decolumnized";"13_Ano_Leg-B_Ma_Ho_Vie_Sebastien.decolumnized";"14_Ano_Leg-B_Ma_Ho_Vie_Vincent.decolumnized";"15_Ano_Leg-B_Ma_Ho_Vie_Georges.decolumnized";"16_Ano_Leg-B_Ma_Ho_Vie_Christophe.decolumnized";"17_Ano_Leg-B_Ma_Fe_Vie_Agathe.decolumnized";"18_Ano_Leg-B_Ma_Fe_Vie_Luce.decolumnized";"19_Ano_Leg-B_Ma_Fe_Vie_Agnes.decolumnized";"20_Ano_Leg-B_Ma_Fe_Vie_Felicite.decolumnized";"21_Ano_Leg-B_Ma_Fe_Vie_Christine.decolumnized";"22_Ano_Leg-B_Ma_Fe_Vie_Cecile.decolumnized";"23_Ano_Leg-B_Ma_Ho_Vie_Sixte.decolumnized";"24_Ano_Leg-B_Ma_Ho_Vie_Laurent.decolumnized";"25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte.decolumnized";"26_Ano_Leg-B_Ma_Ev_Vie_Lambert.decolumnized";"27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon.decolumnized";"28_Ano_Leg-B_Ma_Ho_Vie_Clement.decolumnized";"29_Wau_Leg-C_Co_Ev_Vie_Martin.decolumnized";"30_Wau_Leg-C_Co_Ev_Tra_Martin2.decolumnized";"31_Wau_Leg-C_Co_Ev_Dia_Martin3.decolumnized";"32_Wau_Leg-C_Co_Ev_Vie_Brice.decolumnized";"33_Wau_Leg-C_Co_Er_Vie_Gilles.decolumnized";"34_Wau_Leg-C_Co_Ev_Vie_Martial.decolumnized";"35_Wau_Leg-C_Co_Ev_Vie_Nicolas.decolumnized";"36_Wau_Leg-C_Co_Ev_Mir_Nicolas2.decolumnized";"37_Wau_Leg-C_Co_Ev_Tra_Nicolas3.decolumnized";"38_Wau_Leg-C_Co_Ev_Vie_Jerome.decolumnized";"39_Wau_Leg-C_Co_Ev_Vie_Benoit.decolumnized";"40_Wau_Leg-C_Co_Er_Vie_Alexis.decolumnized";"41_Ano_Leg-C_Vi_NA_Vie_Irene.decolumnized";"42_Ano_Leg-B_Vi_NA_Ass_NotreDame.decolumnized";"43_Ano_Leg-C_Vi_NA_Vie_Catherine.decolumnized";"44_Ano_Leg-C_Ap_NA_Vie_Andre.decolumnized";"45_Ano_Leg-C_Ap_NA_Pas_Andre2.decolumnized";"46_Ano_Leg-B_Co_NA_Pur_Patrice.decolumnized";"47_Ano_Leg-C_Co_er_Vie_PaulErmite.decolumnized";"48_Ano_Leg-C_Co_ev_Tra_Benoit2.decolumnized";"49_Ano_Leg-C_NA_NA_Vie_Maur.decolumnized";"50_Ano_Leg-C_NA_NA_Vie_Placide.decolumnized";"51_Ano_Leg-C_Ma_ho_Vie_Eustache.decolumnized";"52_Ano_Leg-C_Co_NA_Vie_Fursi.decolumnized";"53_Ano_Leg-C_Vi_NA_Vie_Marguerite.decolumnized";"54_Ano_Leg-C_Vi_NA_Vie_Pelagie.decolumnized";"55_Ano_Leg-C_Co_NA_Vie_Simeon.decolumnized";"56_Ano_Leg-C_Co_NA_Vie_Mamertin.decolumnized";"57_Ano_Leg-C_Vi_NA_Vie_Julien.decolumnized";"58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne.decolumnized";"59_Ano_Leg-C_Vi_NA_Vie_Euphrasie.decolumnized";"60_Ano_Leg-B_NA_NA_NA_Antechriste.decolumnized";"61_Ano_Leg-B_NA_NA_NA_Jugement.decolumnized";"62_Ano_Leg-N_NA_NA_NA_Index.decolumnized";"63_Ric_Leg-N_NA_NA_NA_Bestiaire.decolumnized";"64_Ano_Leg-N_NA_NA_NA_Bestiaire2.decolumnized"
"et";21957;415;443;385;16;353;1175;442;494;81;91;338;147;193;285;382;386;824;223;173;347;139;540;512;137;236;186;437;418;184;864;52;1051;81;248;1015;129;647;473;126;656;275;291;198;532;201;897;560;204;199;392;228;260;153;154;89;247;172;244;368;93;98;18;16;401;343
"il";19184;307;209;261;21;224;1143;328;342;64;76;269;101;109;217;247;228;461;143;122;241;95;328;345;105;184;151;279;434;192;956;40;1131;97;345;821;133;725;495;169;877;233;225;122;293;138;693;521;206;245;470;236;262;237;144;89;206;188;174;308;85;89;14;4;504;483
"le";16748;264;255;198;22;265;902;362;383;49;60;243;101;133;164;244;197;381;153;137;225;100;359;273;96;118;111;315;351;119;758;42;870;68;259;790;107;522;456;140;630;234;209;184;514;180;760;474;172;181;320;160;153;156;124;60;163;136;190;288;63;90;30;7;377;301
"estre1";10087;201;172;152;10;117;497;205;214;27;52;149;49;73;115;188;147;281;108;68;159;55;234;238;56;108;79;181;202;68;457;33;568;58;133;462;54;302;251;66;345;123;69;82;284;97;387;242;119;107;177;78;104;70;57;43;81;56;78;122;30;70;34;4;302;337
"de";8976;173;205;167;6;149;403;185;177;29;48;112;45;61;116;144;79;230;88;58;112;35;196;184;43;75;69;178;143;57;428;13;488;42;120;421;56;261;263;67;278;124;84;98;351;111;344;235;112;63;179;62;52;73;45;41;65;42;65;159;30;51;13;12;286;275
"que4";8348;237;144;110;6;132;509;156;196;22;39;118;26;52;77;135;116;259;68;59;102;42;135;201;31;61;46;97;134;96;401;8;555;41;101;345;51;274;199;54;302;68;34;51;215;83;312;147;90;96;152;57;84;61;50;44;66;47;41;158;29;20;4;1;267;434
"si";7933;181;167;176;5;173;512;153;184;33;39;113;61;62;87;102;133;276;72;59;109;35;244;165;48;82;85;136;163;83;331;15;478;33;108;412;44;293;210;73;351;99;77;125;79;66;579;148;77;30;36;14;17;8;5;8;18;11;7;36;5;15;6;4;248;129
"a3";7343;146;152;112;6;106;433;112;124;18;42;75;47;37;76;94;109;200;68;55;96;44;173;151;51;86;65;127;156;66;335;22;436;32;108;348;58;227;184;59;348;94;65;66;189;54;307;117;103;56;126;55;59;42;33;37;58;51;67;114;28;22;7;3;219;187
"qui";5654;95;104;104;4;77;281;140;113;21;25;99;15;33;55;92;76;160;59;22;69;41;167;115;40;39;39;93;86;38;270;15;314;25;82;281;43;210;145;35;201;78;39;46;145;52;208;110;59;49;105;61;54;49;26;32;43;40;58;68;10;28;8;1;164;198
"avoir";5505;123;75;76;3;96;280;93;132;11;19;86;24;28;61;74;73;151;46;36;55;36;121;88;28;61;54;50;99;47;247;9;350;21;66;237;31;200;138;33;259;65;50;32;128;53;211;140;66;67;139;49;70;44;36;33;42;45;48;81;27;18;6;2;154;182
"en1";5104;117;98;80;6;87;371;118;103;19;20;65;35;29;49;56;65;110;47;30;50;25;98;77;22;42;38;84;93;30;253;13;259;22;60;245;27;172;145;44;220;67;76;55;129;48;190;142;64;65;99;33;58;42;27;21;45;21;49;93;18;28;4;2;99;105
"saint";4501;108;68;47;5;36;246;77;53;20;20;45;38;24;32;53;77;80;44;36;58;5;110;81;71;78;48;115;77;44;279;13;272;43;91;308;25;166;150;32;304;50;33;33;17;34;199;22;32;69;176;41;7;33;17;12;36;29;78;28;7;6;1;55;1;6
"je";4132;157;78;53;2;64;201;40;39;2;8;49;16;40;35;81;98;140;61;41;52;18;142;116;25;66;33;39;95;24;75;3;301;7;10;144;17;84;59;8;70;37;4;54;99;54;199;29;43;13;23;9;45;5;54;38;28;23;18;237;22;0;3;16;193;293
"son4";3962;52;57;54;5;54;260;67;33;10;14;43;24;14;43;48;44;86;36;23;72;19;113;54;17;20;25;90;73;41;186;2;214;11;71;191;30;148;71;23;229;78;71;40;79;23;151;52;58;19;104;52;50;32;39;17;50;25;46;43;24;22;3;2;122;93
"dire";3926;190;51;49;2;60;230;53;99;12;24;52;29;33;32;38;92;92;42;36;33;19;115;133;27;69;34;46;122;38;118;5;224;24;24;176;22;109;51;20;112;54;14;57;67;42;199;63;22;27;75;26;46;39;31;13;36;34;36;88;26;16;5;0;62;111
"ne1";3744;79;46;40;5;49;152;66;86;7;17;63;5;25;37;65;39;126;35;35;55;17;81;85;16;25;14;40;49;33;170;11;294;18;39;140;24;94;84;30;158;53;19;32;123;48;130;100;46;30;39;26;36;23;17;21;30;20;18;78;20;14;7;0;176;184
"ce1";3687;99;66;46;2;45;211;55;71;8;23;48;14;18;44;64;54;130;31;41;49;20;97;126;16;44;39;54;85;40;178;8;249;17;36;142;18;110;74;20;132;41;21;27;101;44;138;81;35;28;64;18;42;28;10;17;33;25;13;57;9;14;6;1;110;100
"tot";3628;54;48;43;7;56;176;92;70;21;16;61;12;26;58;44;55;124;26;21;59;21;88;74;19;37;27;85;88;23;144;10;176;13;46;253;28;97;90;19;99;59;44;37;73;36;134;122;42;37;75;50;35;21;17;16;31;29;31;56;10;30;4;0;61;72
"faire";3315;76;38;46;6;58;166;80;88;13;5;59;14;26;23;57;58;112;28;29;34;19;82;63;22;31;22;41;68;35;136;6;179;10;42;170;19;116;76;31;146;50;33;17;87;15;91;70;27;21;68;39;30;18;25;16;30;15;29;52;13;16;2;1;76;144
"tu";3273;123;80;42;1;62;141;47;52;5;16;48;17;44;17;53;97;164;71;41;44;23;170;152;29;70;29;23;100;17;31;0;132;9;6;146;6;62;35;5;46;15;16;53;105;83;180;115;38;15;27;12;51;9;32;27;41;42;14;107;19;0;0;1;10;5
"un";3048;38;33;44;4;47;218;77;79;7;17;47;25;9;32;35;28;53;21;11;25;7;49;48;9;22;19;38;43;34;128;5;195;9;48;90;10;65;80;28;150;34;48;24;54;8;126;93;52;54;77;48;43;41;21;17;52;24;39;52;28;3;4;1;115;63
"por2";2836;50;47;39;0;33;140;55;55;4;6;34;13;21;45;58;39;102;19;21;45;13;56;60;15;8;12;48;49;15;127;12;168;11;58;131;12;87;60;26;116;35;26;26;82;28;90;69;44;21;49;18;19;17;16;16;28;15;17;65;14;10;2;1;108;110
"cel";2781;49;27;47;3;35;123;53;49;15;11;45;18;9;18;42;31;72;27;9;34;19;38;89;17;26;19;36;65;8;159;3;193;13;29;93;16;111;73;8;124;38;23;26;86;22;151;60;26;40;73;32;28;22;11;17;34;25;27;28;5;27;9;1;48;66
"seignor";2548;44;60;36;1;39;209;59;50;16;12;27;41;34;37;39;66;88;18;17;28;15;65;39;18;27;12;59;42;17;104;2;54;8;49;177;23;103;109;15;69;45;13;38;29;12;106;30;42;17;55;31;33;14;13;15;19;11;22;24;12;6;6;1;7;19
"de+le";2404;56;61;53;2;44;155;65;53;4;10;35;24;19;19;44;31;42;17;18;28;6;49;26;8;19;13;52;32;7;88;9;150;4;28;119;20;55;94;14;65;16;23;30;102;22;67;57;41;26;33;20;21;23;14;11;20;14;27;43;8;9;5;2;75;57
"cant1";2349;43;20;29;1;36;161;40;46;1;7;28;13;8;14;15;43;65;19;18;35;12;62;40;14;25;25;32;64;26;103;6;126;14;39;100;11;89;68;19;102;24;41;17;26;21;80;39;29;33;55;22;34;15;18;11;19;13;24;51;14;5;2;0;92;45
"par";2308;40;68;40;4;48;121;33;18;1;2;14;5;8;3;15;4;43;26;15;30;9;26;26;1;20;10;39;31;20;82;5;148;14;51;124;17;86;65;13;121;20;22;17;142;40;84;61;17;33;68;22;25;17;17;8;15;17;23;39;7;23;0;0;76;69
"que2";2303;65;33;38;1;40;157;50;44;12;18;29;8;10;26;40;26;63;13;18;31;6;45;55;5;24;17;36;37;19;86;4;145;5;34;83;16;73;53;18;94;24;17;17;59;22;79;55;15;18;47;22;27;21;8;12;16;17;27;50;9;10;0;0;48;106
"nostre";2250;27;48;26;2;24;109;48;55;12;12;32;28;35;34;41;49;93;19;18;27;22;57;42;20;32;17;63;56;16;97;3;84;6;49;155;18;61;48;22;68;42;10;49;34;14;98;46;21;21;60;18;22;11;9;12;15;6;24;26;13;9;5;2;1;7
