"pos";"F";"00_Ano_Leg-A_Ap_Ev_Dis_Pierre1.decolumnized";"01_Ano_Leg-A_Ap_NA_Vie_Pierre2.decolumnized";"02_Ano_Leg-A_Ap_NA_Pas_Paul.decolumnized";"03_Ano_Leg-A_Ap_NA_Mar_Jean.decolumnized";"04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev.decolumnized";"05_Ano_Leg-A_Ap_NA_Vie_Jacques.decolumnized";"06_Ano_Leg-A_Ap_NA_Vie_Matthieu.decolumnized";"07_Ano_Leg-A_Ap_NA_Vie_SimonJude.decolumnized";"08_Ano_Leg-A_Ap_NA_Vie_Philippe.decolumnized";"09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur.decolumnized";"10_Ano_Leg-A_Ap_NA_Vie_Barthelemy.decolumnized";"11_Ano_Leg-A_Ap_NA_Vie_Marc.decolumnized";"12_Ano_Leg-A_Ma_Ho_Vie_Longin.decolumnized";"13_Ano_Leg-B_Ma_Ho_Vie_Sebastien.decolumnized";"14_Ano_Leg-B_Ma_Ho_Vie_Vincent.decolumnized";"15_Ano_Leg-B_Ma_Ho_Vie_Georges.decolumnized";"16_Ano_Leg-B_Ma_Ho_Vie_Christophe.decolumnized";"17_Ano_Leg-B_Ma_Fe_Vie_Agathe.decolumnized";"18_Ano_Leg-B_Ma_Fe_Vie_Luce.decolumnized";"19_Ano_Leg-B_Ma_Fe_Vie_Agnes.decolumnized";"20_Ano_Leg-B_Ma_Fe_Vie_Felicite.decolumnized";"21_Ano_Leg-B_Ma_Fe_Vie_Christine.decolumnized";"22_Ano_Leg-B_Ma_Fe_Vie_Cecile.decolumnized";"23_Ano_Leg-B_Ma_Ho_Vie_Sixte.decolumnized";"24_Ano_Leg-B_Ma_Ho_Vie_Laurent.decolumnized";"25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte.decolumnized";"26_Ano_Leg-B_Ma_Ev_Vie_Lambert.decolumnized";"27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon.decolumnized";"28_Ano_Leg-B_Ma_Ho_Vie_Clement.decolumnized";"29_Wau_Leg-C_Co_Ev_Vie_Martin.decolumnized";"30_Wau_Leg-C_Co_Ev_Tra_Martin2.decolumnized";"31_Wau_Leg-C_Co_Ev_Dia_Martin3.decolumnized";"32_Wau_Leg-C_Co_Ev_Vie_Brice.decolumnized";"33_Wau_Leg-C_Co_Er_Vie_Gilles.decolumnized";"34_Wau_Leg-C_Co_Ev_Vie_Martial.decolumnized";"35_Wau_Leg-C_Co_Ev_Vie_Nicolas.decolumnized";"36_Wau_Leg-C_Co_Ev_Mir_Nicolas2.decolumnized";"37_Wau_Leg-C_Co_Ev_Tra_Nicolas3.decolumnized";"38_Wau_Leg-C_Co_Ev_Vie_Jerome.decolumnized";"39_Wau_Leg-C_Co_Ev_Vie_Benoit.decolumnized";"40_Wau_Leg-C_Co_Er_Vie_Alexis.decolumnized";"41_Ano_Leg-C_Vi_NA_Vie_Irene.decolumnized";"42_Ano_Leg-B_Vi_NA_Ass_NotreDame.decolumnized";"43_Ano_Leg-C_Vi_NA_Vie_Catherine.decolumnized";"44_Ano_Leg-C_Ap_NA_Vie_Andre.decolumnized";"45_Ano_Leg-C_Ap_NA_Pas_Andre2.decolumnized";"46_Ano_Leg-B_Co_NA_Pur_Patrice.decolumnized";"47_Ano_Leg-C_Co_er_Vie_PaulErmite.decolumnized";"48_Ano_Leg-C_Co_ev_Tra_Benoit2.decolumnized";"49_Ano_Leg-C_NA_NA_Vie_Maur.decolumnized";"50_Ano_Leg-C_NA_NA_Vie_Placide.decolumnized";"51_Ano_Leg-C_Ma_ho_Vie_Eustache.decolumnized";"52_Ano_Leg-C_Co_NA_Vie_Fursi.decolumnized";"53_Ano_Leg-C_Vi_NA_Vie_Marguerite.decolumnized";"54_Ano_Leg-C_Vi_NA_Vie_Pelagie.decolumnized";"55_Ano_Leg-C_Co_NA_Vie_Simeon.decolumnized";"56_Ano_Leg-C_Co_NA_Vie_Mamertin.decolumnized";"57_Ano_Leg-C_Vi_NA_Vie_Julien.decolumnized";"58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne.decolumnized";"59_Ano_Leg-C_Vi_NA_Vie_Euphrasie.decolumnized";"60_Ano_Leg-B_NA_NA_NA_Antechriste.decolumnized";"61_Ano_Leg-B_NA_NA_NA_Jugement.decolumnized";"62_Ano_Leg-N_NA_NA_NA_Index.decolumnized";"63_Ric_Leg-N_NA_NA_NA_Bestiaire.decolumnized";"64_Ano_Leg-N_NA_NA_NA_Bestiaire2.decolumnized"
"NOMcom PONfrt CONcoo";5175;101;88;75;2;84;254;137;139;22;34;105;51;49;85;101;75;232;79;44;103;37;121;136;33;50;38;137;104;73;202;8;275;22;41;165;24;97;75;23;110;39;56;56;79;24;209;154;62;49;104;40;54;32;27;16;38;29;47;109;27;33;6;5;164;85
"PRE DETdef NOMcom";3794;54;72;53;3;52;215;67;74;11;14;48;18;19;37;54;33;62;31;19;42;7;81;36;16;22;23;77;70;27;171;9;194;24;54;167;20;125;143;38;134;65;65;51;125;53;168;103;49;26;82;40;43;28;42;20;32;40;53;71;10;18;6;3;104;81
"PRE DETpos NOMcom";3464;44;72;54;1;57;215;66;65;10;15;37;25;30;55;44;29;106;45;39;47;17;77;61;17;31;27;60;68;32;154;2;166;9;56;167;25;144;88;22;154;70;31;48;100;25;141;67;46;20;71;25;29;28;25;13;32;20;25;42;14;16;3;1;82;57
"CONsub PROper VERcjg";3421;81;49;52;3;41;192;46;70;4;15;33;12;22;38;42;70;128;37;33;38;25;78;107;16;42;30;51;64;55;89;7;163;11;34;129;16;84;66;25;95;23;30;29;74;47;151;74;42;56;73;26;45;30;34;25;31;36;23;98;9;13;1;1;113;144
"PROper VERcjg PRE";2999;44;39;31;1;40;216;40;39;6;15;25;16;11;30;37;29;79;23;12;30;8;61;48;15;33;16;64;65;29;121;4;184;12;50;135;19;103;74;20;140;34;34;36;60;33;146;78;36;31;69;32;33;25;25;16;26;24;22;74;18;11;3;0;81;88
"PONfrt CONcoo ADVgen";2731;40;30;33;1;24;187;67;82;19;24;66;38;25;58;71;66;133;46;29;56;23;85;76;37;43;39;73;78;17;93;4;146;10;27;106;10;69;49;16;84;18;15;17;20;15;151;63;26;11;10;12;9;3;2;2;6;7;9;19;2;6;1;0;85;42
"PROper PROper VERcjg";2506;41;30;30;1;32;135;30;50;11;14;43;12;15;22;33;27;85;32;15;32;14;62;67;14;37;19;32;45;17;86;5;192;10;30;114;12;95;57;13;91;25;16;18;35;23;93;56;19;27;48;26;38;17;26;19;28;24;24;78;6;5;2;1;67;83
"VERcjg DETdef NOMcom";2490;52;35;23;6;35;131;38;61;6;8;39;20;22;23;39;31;64;23;27;34;21;50;37;22;24;19;31;52;19;124;6;100;9;42;106;9;64;67;28;94;37;23;37;67;29;98;83;30;41;29;27;28;27;23;11;38;24;20;47;7;11;4;1;61;46
"ADVgen PROper VERcjg";2437;46;37;53;2;45;176;42;40;10;12;31;21;19;32;36;36;60;16;18;22;12;74;43;20;28;25;35;63;25;105;0;165;10;36;123;17;91;59;21;147;36;24;28;25;15;191;58;23;11;12;9;5;4;4;4;8;8;2;11;3;3;0;0;57;43
"PROper VERcjg ADVgen";2324;21;27;24;1;18;137;28;37;8;6;25;7;16;27;33;22;51;18;17;26;9;35;57;12;17;17;32;42;20;110;3;172;14;33;99;20;91;56;26;109;28;17;10;35;13;82;86;25;40;74;32;30;25;10;10;18;21;20;48;13;7;0;0;75;82
"ADJqua NOMcom PONfrt";2295;28;40;18;0;21;146;64;47;12;6;36;21;16;36;52;50;96;32;18;51;18;68;61;19;32;25;62;45;20;127;4;129;10;27;120;15;47;51;14;72;23;13;19;32;8;70;33;19;19;53;16;20;23;8;11;22;13;16;51;8;5;1;13;18;25
"DETdef NOMcom PRE";2265;49;49;37;3;46;104;35;33;6;6;16;14;19;30;30;15;52;23;19;21;10;47;28;18;13;20;38;33;16;120;5;118;13;32;108;10;71;75;26;59;34;30;31;84;41;119;51;28;20;48;17;18;16;21;10;20;16;23;54;5;24;5;3;46;34
"CONcoo ADVgen VERcjg";2208;23;39;21;0;29;159;45;55;11;12;44;32;22;35;47;52;106;35;16;45;21;82;77;27;39;26;60;62;7;93;3;126;12;19;117;12;81;50;20;63;26;17;22;24;14;128;22;14;10;5;7;7;0;2;2;2;2;8;13;1;3;1;0;30;23
"DETpos NOMcom PONfrt";2208;41;33;34;0;36;123;45;42;6;11;30;22;21;37;32;33;82;35;22;31;11;58;48;15;17;14;53;56;22;75;2;98;5;25;80;14;69;34;15;92;44;28;27;34;14;95;43;21;24;48;23;26;20;20;13;18;13;19;37;14;17;4;2;50;35
"PROper VERcjg PONfrt";2192;65;36;40;1;45;122;44;46;7;7;30;13;28;37;27;68;59;32;26;21;17;59;76;18;37;14;30;76;17;77;3;95;7;12;78;6;58;34;14;95;29;22;10;27;18;112;44;13;21;30;15;33;18;12;9;18;18;11;46;15;8;2;1;54;29
