pos;F;61_Ano_Leg-B_NA_NA_NA_Jugement;05_y_Leg-_A_Ap__tr_Vie;02_Ano_Leg-A_Ap_NA_Pas_Paul;54_Ano_Leg-C_Vi_NA_Vie_Pelagie;60_Ano_Leg-B_NA_NA_NA_Antechriste;14_Ano_Leg-B_Ma_Ho_Vie_Vincent;42_Ano_Leg-B_Vi_NA_Ass_NotreDame;29_Wau_Leg-C_Co_Ev_Vie_Martin;58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne;52_Ano_Leg-C_Co_NA_Vie_Fursi;04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev;01_Ano_Leg-A_Ap_NA_Vie_Pierre2;11_Ano_Leg-A_Ap_NA_Vie_Marc;38_Wau_Leg-C_Co_Ev_Vie_Jerome;00_Ano_Leg-A_Ap_Ev_Dis_Pierre1;49_Ano_Leg-C_NA_NA_Vie_Maur;41_Ano_Leg-C_Vi_NA_Vie_Irene;30_Wau_Leg-C_Co_Ev_Tra_Martin2;08_Ano_Leg-A_Ap_NA_Vie_Philippe;63_Ric_Leg-N_NA_NA_NA_Bestiaire;56_Ano_Leg-C_Co_NA_Vie_Mamertin;21_Ano_Leg-B_Ma_Fe_Vie_Christine;35_Wau_Leg-C_Co_Ev_Vie_Nicolas;07_Ano_Leg-A_Ap_NA_Vie_SimonJude;53_Ano_Leg-C_Vi_NA_Vie_Marguerite;33_Wau_Leg-C_Co_Er_Vie_Gilles;03_Ano_Leg-A_Ap_NA_Mar_Jean;13_Ano_Leg-B_Ma_Ho_Vie_Sebastien;31_Wau_Leg-C_Co_Ev_Dia_Martin3;27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon;34_Wau_Leg-C_Co_Ev_Vie_Martial;23_Ano_Leg-B_Ma_Ho_Vie_Sixte;44_Ano_Leg-C_Ap_NA_Vie_Andre;10_Ano_Leg-A_Ap_NA_Vie_Barthelemy;22_Ano_Leg-B_Ma_Fe_Vie_Cecile;26_Ano_Leg-B_Ma_Ev_Vie_Lambert;09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur;47_Ano_Leg-C_Co_er_Vie_PaulErmite;17_Ano_Leg-B_Ma_Fe_Vie_Agathe;37_Wau_Leg-C_Co_Ev_Tra_Nicolas3;15_Ano_Leg-B_Ma_Ho_Vie_Georges;18_Ano_Leg-B_Ma_Fe_Vie_Luce;48_Ano_Leg-C_Co_ev_Tra_Benoit2;45_Ano_Leg-C_Ap_NA_Pas_Andre2;28_Ano_Leg-B_Ma_Ho_Vie_Clement;64_Ano_Leg-N_NA_NA_NA_Bestiaire2;20_Ano_Leg-B_Ma_Fe_Vie_Felicite;59_Ano_Leg-C_Vi_NA_Vie_Euphrasie;19_Ano_Leg-B_Ma_Fe_Vie_Agnes;46_Ano_Leg-B_Co_NA_Pur_Patrice;55_Ano_Leg-C_Co_NA_Vie_Simeon;06_Ano_Leg-A_Ap_NA_Vie_Matthieu;32_Wau_Leg-C_Co_Ev_Vie_Brice;16_Ano_Leg-B_Ma_Ho_Vie_Christophe;40_Wau_Leg-C_Co_Er_Vie_Alexis;51_Ano_Leg-C_Ma_ho_Vie_Eustache;24_Ano_Leg-B_Ma_Ho_Vie_Laurent;57_Ano_Leg-C_Vi_NA_Vie_Julien;12_Ano_Leg-A_Ma_Ho_Vie_Longin;43_Ano_Leg-C_Vi_NA_Vie_Catherine;50_Ano_Leg-C_NA_NA_Vie_Placide;25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte;39_Wau_Leg-C_Co_Ev_Vie_Benoit;62_Ano_Leg-N_NA_NA_NA_Index;36_Wau_Leg-C_Co_Ev_Mir_Nicolas2
NOMpro PONfrt CONcoo;349;1;6;7;0;1;3;3;5;8;0;7;8;6;4;9;10;8;0;0;1;1;9;0;14;2;4;1;6;13;13;10;3;2;8;8;6;0;4;3;9;6;4;4;25;5;3;1;13;4;6;0;8;1;12;2;1;9;7;4;10;2;5;2;2;10
PONfrt CONcoo ADVgen;2632;1;169;33;2;1;71;17;93;19;3;22;27;34;16;33;10;15;4;7;85;7;81;10;73;2;27;0;54;146;78;106;34;15;58;80;73;17;26;45;49;63;30;11;151;17;42;24;7;56;63;6;59;10;127;18;9;40;9;20;20;12;42;84;0;69
CONcoo ADVgen VERcjg;2216;1;156;21;2;1;49;22;93;13;0;29;38;32;20;26;5;17;3;12;30;2;82;12;55;2;19;0;37;126;62;117;25;14;43;79;60;11;14;34;50;52;16;10;128;7;23;20;3;43;22;2;49;12;111;26;7;40;8;22;24;7;26;63;0;81
ADVgen VERcjg PRE;986;1;74;11;2;1;18;14;36;12;0;24;23;12;15;16;9;14;0;5;22;1;25;6;28;0;6;0;12;58;25;37;10;7;14;24;14;8;19;12;18;22;8;3;46;8;18;3;4;14;9;1;20;6;35;10;5;13;2;11;10;3;16;39;0;47
VERcjg PRE DETdef;1188;2;94;15;4;1;16;15;37;29;9;13;16;4;11;9;24;31;2;2;29;19;29;5;17;13;9;1;7;63;25;58;4;15;16;11;21;6;13;15;42;14;6;6;70;12;20;1;11;16;24;18;25;6;25;16;13;8;18;8;26;12;6;28;1;46
PRE DETdef NOMcom;3910;6;215;57;20;1;71;51;171;71;28;53;74;26;38;52;82;65;9;11;104;40;84;20;83;42;54;3;41;194;70;167;16;53;64;44;77;16;49;33;143;37;22;26;168;27;81;10;27;43;103;32;77;24;76;65;43;23;53;25;125;40;23;134;3;125
DETdef NOMcom ADVgen;514;1;39;6;1;1;6;7;24;2;4;10;7;1;13;9;4;8;3;0;21;1;10;1;11;2;8;1;2;29;10;22;2;3;6;2;11;1;0;1;17;5;7;1;35;4;12;1;0;3;25;3;6;0;10;14;2;7;2;5;13;6;3;28;0;15
NOMcom ADVgen PONfrt;147;2;7;2;0;1;1;0;10;1;0;0;1;1;1;6;2;1;2;0;4;1;1;1;5;0;1;0;1;9;1;2;1;0;2;1;5;0;0;1;7;0;0;0;9;2;6;0;1;1;6;0;2;0;2;6;2;1;0;1;4;0;2;8;2;11
ADVgen PONfrt VERcjg;42;1;1;1;0;0;2;0;3;1;1;2;1;1;0;3;0;0;1;1;2;0;1;0;1;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;1;0;0;0;1;0;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;1;0;4
PONfrt VERcjg PONfrt;79;1;6;4;0;0;1;0;3;0;0;1;0;0;1;2;0;4;0;5;2;0;4;0;1;0;0;0;5;3;1;8;0;0;3;1;1;1;0;0;1;2;0;0;3;2;0;1;1;0;0;0;0;0;4;1;0;1;2;0;0;1;1;0;0;1
VERcjg PONfrt PROcar;39;1;1;0;0;0;0;0;2;4;1;0;1;0;0;0;1;1;0;0;3;0;2;0;0;0;1;0;0;3;0;2;0;0;0;0;0;0;0;0;5;2;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;1;1;0;1;0;0
PONfrt PROcar PONfrt;195;2;10;0;2;0;0;2;6;10;1;1;2;0;2;0;5;5;1;0;6;4;3;0;2;0;3;0;1;20;3;10;1;0;3;2;1;1;2;1;18;4;0;0;6;3;0;0;3;0;3;4;3;2;2;3;0;0;2;1;5;3;7;10;2;2
PROcar PONfrt NOMcom;138;2;5;0;2;0;1;2;2;5;1;1;3;0;2;0;4;3;1;0;6;4;2;0;0;0;3;0;1;17;3;4;1;0;4;2;1;1;1;1;8;2;0;0;3;2;1;0;3;0;2;2;2;1;1;3;0;0;1;1;5;2;5;5;2;2
PONfrt NOMcom VERcjg;326;1;25;7;0;0;4;3;8;5;1;9;5;1;3;17;4;2;0;1;9;3;7;0;8;6;3;1;2;10;11;7;4;14;3;9;1;1;3;3;6;5;0;3;10;1;7;3;8;4;7;2;9;1;3;9;3;4;1;3;11;6;0;11;1;7
NOMcom VERcjg VERppe;925;2;34;17;2;0;12;7;54;12;5;16;15;6;9;14;21;6;6;2;17;6;20;5;23;9;17;1;12;47;23;43;6;5;17;15;7;2;8;10;32;17;5;14;38;8;13;7;12;11;20;8;18;3;23;15;6;10;6;4;30;6;8;43;1;34
VERcjg VERppe PRE;1165;2;68;18;5;0;25;12;42;11;6;18;27;5;9;21;29;10;4;5;19;6;25;9;23;8;23;3;17;65;22;47;3;13;14;26;12;4;16;13;41;12;9;17;67;9;18;4;11;16;23;8;18;3;36;8;7;12;6;3;43;4;8;54;2;41
VERppe PRE DETdef;424;1;24;6;0;0;10;4;16;3;4;4;8;4;4;6;7;5;0;4;7;0;10;0;14;3;8;0;6;21;4;22;2;2;5;6;9;3;6;4;15;5;2;5;11;1;3;2;6;9;8;2;14;3;8;6;3;5;2;5;19;5;4;25;1;13
DETdef NOMcom NOMpro;122;1;3;0;0;0;0;6;0;5;0;2;4;0;0;5;4;4;0;1;0;0;1;0;4;3;0;1;1;2;2;3;2;1;2;3;1;0;2;1;0;2;0;1;8;1;0;0;1;0;8;2;9;1;4;3;1;2;5;2;7;0;0;0;0;1
NOMcom NOMpro PONfbl;23;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;5;0;0;0;0;2
NOMpro PONfbl DETind;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PONfbl DETind NOMcom;11;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;2;0;0;0;0;0
DETind NOMcom ADVneg;60;1;2;1;1;0;0;0;3;3;0;2;1;0;0;0;0;0;0;0;5;0;0;0;3;0;2;0;3;2;1;2;0;1;0;0;2;0;0;1;2;0;1;0;3;0;4;0;0;1;3;1;1;1;1;1;0;0;1;0;0;0;0;3;0;1
NOMcom ADVneg VERcjg;386;2;12;4;4;0;8;2;11;8;1;10;5;0;3;8;6;5;1;0;14;2;3;4;8;0;6;1;3;34;7;20;0;4;6;6;4;3;5;1;13;7;4;1;15;5;26;0;3;5;9;1;12;1;9;2;3;3;0;1;22;1;0;14;0;8
ADVneg VERcjg CONcoo;80;1;3;0;0;0;0;1;6;0;0;0;2;0;1;0;1;0;0;0;2;1;1;1;2;0;1;0;0;6;2;1;1;0;0;3;1;2;3;1;1;1;2;2;0;2;9;0;1;1;1;3;2;0;3;1;0;0;0;0;4;2;2;0;0;0
VERcjg CONcoo PONfrt;11;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
