Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
->PROadv->VERcjg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
->PROper->PROper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJcar->ADJqua->ADJqua,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJcar->ADJqua->NOMcom,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,0,1,0
ADJcar->ADVgen->ADJqua,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJcar->ADVgen->CONcoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADJcar->ADVgen->PONfrt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADJcar->ADVgen->PRE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADJcar->ADVneg->PONfbl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJcar->NOMcom->CONcoo,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2
ADJcar->NOMcom->CONsub,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
ADJcar->NOMcom->DETpos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADJcar->NOMcom->PONfbl,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ADJcar->NOMcom->PONfrt,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0
ADJcar->NOMcom->PRE,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJcar->NOMcom->PROper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJcar->NOMcom->PROrel,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1
ADJcar->NOMcom->VERcjg,0,0,1,1,0,0,0,0,3,0,2,3,0,0,1,1,0,0
ADJcar->PONfbl->NOMpro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJcar->PONfbl->VERcjg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADJcar->PONfrt->NOMcom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJcar->PROadv->VERcjg,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ADJcar->PROrel->VERcjg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJcar->VERppe->PONfbl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJcar->VERppe->PROper,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJcar->VERppe->VERcjg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJind->ADJind->PRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJind->ADJqua->NOMcom,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADJind->ADJqua->PONfbl,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADJqua->PONfrt,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ADJind->ADJqua->PRE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->ADJqua->VERcjg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJind->ADJqua->VERppe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJind->ADVgen->ADVgen,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
ADJind->ADVgen->CONcoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADJind->ADVgen->DETndf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADVgen->PONfbl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->ADVgen->PRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADVgen->PROrel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADVgen->VERcjg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADVneg->PONfrt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJind->ADVneg->PROadv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->ADVneg->VERcjg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJind->CONcoo->ADVgen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->CONcoo->ADVneg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->CONcoo->CONsub,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->CONcoo->DETdef,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->CONcoo->DETpos,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJind->CONcoo->PROind,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->CONsub->ADVgen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ADJind->CONsub->DETdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADJind->CONsub->NOMpro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->CONsub->OUT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->CONsub->PONfbl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ADJind->CONsub->PROper,2,3,1,1,0,0,0,0,1,1,1,1,1,1,2,2,0,0
ADJind->CONsub->VERcjg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->DETdef->ADJqua,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJind->DETdef->NOMcom,0,0,1,0,0,0,1,1,0,0,2,1,0,0,1,1,0,0
ADJind->DETdef->PONfbl,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ADJind->DETpos->NOMcom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->ADJqua,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJind->NOMcom->ADVgen,0,0,2,2,0,0,0,0,2,2,3,1,0,0,1,1,0,0
ADJind->NOMcom->ADVneg,0,0,1,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0
ADJind->NOMcom->CONcoo,1,3,2,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0
ADJind->NOMcom->CONsub,0,4,3,4,0,0,0,2,1,3,1,1,0,0,1,4,1,0
ADJind->NOMcom->DETdef,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJind->NOMcom->DETdem,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->DETind,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->DETndf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->NOMcom,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADJind->NOMcom->NOMpro,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJind->NOMcom->PONfbl,3,2,4,7,0,0,0,0,2,2,1,2,0,0,2,1,0,1
ADJind->NOMcom->PONfrt,2,4,5,6,0,0,0,0,3,4,4,4,1,0,0,0,0,0
ADJind->NOMcom->PRE,1,4,2,5,0,1,1,1,4,6,5,8,0,0,0,2,0,0
ADJind->NOMcom->PRE.DETdef,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->PROadv,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0
ADJind->NOMcom->PROper,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
ADJind->NOMcom->PROrel,5,4,4,9,0,0,1,2,3,5,5,5,1,1,3,3,1,1
ADJind->NOMcom->VERcjg,6,10,3,7,0,1,0,0,4,6,2,3,0,0,3,9,0,0
ADJind->NOMcom->VERinf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->NOMcom->VERppa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ADJind->NOMpro->ADVgen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJind->NOMpro->CONcoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJind->NOMpro->PONfbl,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
