char,occs
d,10244
e,70155
s,37078
',137
m,11015
a,24988
r,27358
t,30619
i,41394
n,30985
M,236
o,28016
u,20778
 ,72926
c,11919
,4762
l,22837
b,2992
p,8144
P,68
.,6659
Q,493
D,334
f,3918
:,2603
h,3246
E,829
q,6122
x,234
ō,99
ĩ,118
z,4616
g,3973
C,274
﻿,470
ꝑ,341
A,199
S,335
ẏ,253
⁊,141
v,85
ꝯ,246
ē,199
I,129
T,160
L,507
ͣ,86
N,141
R,30
"""",807
ͬ,3
j,10
J,46
̅,43
,2
ñ,2
ͥ,26
º,1
ā,61
ͧ,2
U,83
•,12
F,12
ꝙ,6
O,77
y,7
ū,14
ᷤ,35
ṫ,9
ͤ,18
B,93
G,43
ᵉ,8
é,2
ü,1
H,10
k,6
,17
&,5
,4
ŧ,1
w,6
V,12
̃,1
 ,260
ʑ,1
ƺ,3
ᵈ,1
>,1
;,1
7,1
8,1
[,1
],1
ç,1
K,1
