char,occs
u,2798
i,5433
t,3908
 ,11346
,631
r,3676
e,9961
g,571
n,3813
p,1244
a,3562
o,3567
z,765
s,5419
c,1679
l,3094
.,1181
A,41
m,1478
C,33
·,31
h,362
I,61
d,1586
v,49
q,789
̄,8
ͤ,3
:,185
M,18
ē,20
,3
ẏ,84
ꝯ,114
ᷤ,3
f,628
̉,3
S,44
b,323
,3
ō,6
E,84
ĳ,8
ī,3
⁊,289
ꝑ,104
̃,32
B,26
’,2
᷒,2
,1
L,79
R,2
Q,79
j,9
x,89
,2
,1
J,31
ã,4
N,18
T,15
ū,3
D,32
9,12
õ,10
",",14
ĩ,10
y,53
,5
ẽ,14
O,12
P,15
ủ,1
U,4
ͣ,12
ˢ,5
é,1
X,11
V,7
 ,9
,1
ᵉ,1
ᷣ,2
ꝰ,7
ͥ,5
ā,2
k,1
,1
',7
⁹,2
,1
,2
G,1
H,2
"""",1
F,1
,2
,2
ú,1
ť,1
,2
